doc_id,content,data_type,meta_route_id,meta_img_orden,meta_img_path,meta_is_map,meta_pais,meta_region,meta_provincia,meta_comarca,meta_zona,meta_pueblo,meta_nombre_ruta,meta_categoria,meta_dificultad,meta_descripcion_dificultad,meta_distancia_total,meta_altitud_minima,meta_altitud_maxima,meta_desnivel_acumulado,meta_Tiempo_total,meta_Punto_salida_llegada,meta_poblacion_cercana,meta_link_archivo,meta_pdf_path,meta_fecha
0_img-1,"Imagen de la ruta 'Vuelta a las Agujas de Montserrat desde Can Maçana'. ubicada en El Bruc, Montserrat, Anoia, Barcelona, Cataluña, España. fichero de imagen: D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p1_img1.jpeg.",image,0,1,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p1_img1.jpeg,False,España,Cataluña,Barcelona,Anoia,Montserrat,El Bruc,Vuelta a las Agujas de Montserrat desde Can Maçana,Rutas circulares;Paisajes pintorescos;Familias y niños,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,7 km,714.0,980.0,+ 500 m / - 500 m,3:05 h,Aparcamiento Coll Can Maçana,El Bruc,https://www.rutaspirineos.org/rutas/agulles-frares-encantats-montserrat-can-massana,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es.pdf,11/11/2025
0_img-2,"Imagen de la ruta 'Vuelta a las Agujas de Montserrat desde Can Maçana'. ubicada en El Bruc, Montserrat, Anoia, Barcelona, Cataluña, España. fichero de imagen: D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p3_img1.jpeg.",image,0,2,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p3_img1.jpeg,False,España,Cataluña,Barcelona,Anoia,Montserrat,El Bruc,Vuelta a las Agujas de Montserrat desde Can Maçana,Rutas circulares;Paisajes pintorescos;Familias y niños,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,7 km,714.0,980.0,+ 500 m / - 500 m,3:05 h,Aparcamiento Coll Can Maçana,El Bruc,https://www.rutaspirineos.org/rutas/agulles-frares-encantats-montserrat-can-massana,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es.pdf,11/11/2025
0_img-3,"Imagen de la ruta 'Vuelta a las Agujas de Montserrat desde Can Maçana'. ubicada en El Bruc, Montserrat, Anoia, Barcelona, Cataluña, España. fichero de imagen: D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p4_img1.jpeg.",image,0,3,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p4_img1.jpeg,False,España,Cataluña,Barcelona,Anoia,Montserrat,El Bruc,Vuelta a las Agujas de Montserrat desde Can Maçana,Rutas circulares;Paisajes pintorescos;Familias y niños,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,7 km,714.0,980.0,+ 500 m / - 500 m,3:05 h,Aparcamiento Coll Can Maçana,El Bruc,https://www.rutaspirineos.org/rutas/agulles-frares-encantats-montserrat-can-massana,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es.pdf,11/11/2025
0_img-4,"Imagen de la ruta 'Vuelta a las Agujas de Montserrat desde Can Maçana'. ubicada en El Bruc, Montserrat, Anoia, Barcelona, Cataluña, España. fichero de imagen: D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p5_img1.jpeg.",image,0,4,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p5_img1.jpeg,False,España,Cataluña,Barcelona,Anoia,Montserrat,El Bruc,Vuelta a las Agujas de Montserrat desde Can Maçana,Rutas circulares;Paisajes pintorescos;Familias y niños,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,7 km,714.0,980.0,+ 500 m / - 500 m,3:05 h,Aparcamiento Coll Can Maçana,El Bruc,https://www.rutaspirineos.org/rutas/agulles-frares-encantats-montserrat-can-massana,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es.pdf,11/11/2025
0_img-5,"Imagen de la ruta 'Vuelta a las Agujas de Montserrat desde Can Maçana'. ubicada en El Bruc, Montserrat, Anoia, Barcelona, Cataluña, España. fichero de imagen: D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p5_img2.jpeg.",image,0,5,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p5_img2.jpeg,False,España,Cataluña,Barcelona,Anoia,Montserrat,El Bruc,Vuelta a las Agujas de Montserrat desde Can Maçana,Rutas circulares;Paisajes pintorescos;Familias y niños,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,7 km,714.0,980.0,+ 500 m / - 500 m,3:05 h,Aparcamiento Coll Can Maçana,El Bruc,https://www.rutaspirineos.org/rutas/agulles-frares-encantats-montserrat-can-massana,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es.pdf,11/11/2025
0_img-6,"Imagen de la ruta 'Vuelta a las Agujas de Montserrat desde Can Maçana'. ubicada en El Bruc, Montserrat, Anoia, Barcelona, Cataluña, España. fichero de imagen: D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p6_img1.jpeg.",image,0,6,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p6_img1.jpeg,False,España,Cataluña,Barcelona,Anoia,Montserrat,El Bruc,Vuelta a las Agujas de Montserrat desde Can Maçana,Rutas circulares;Paisajes pintorescos;Familias y niños,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,7 km,714.0,980.0,+ 500 m / - 500 m,3:05 h,Aparcamiento Coll Can Maçana,El Bruc,https://www.rutaspirineos.org/rutas/agulles-frares-encantats-montserrat-can-massana,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es.pdf,11/11/2025
0_img-7,"Imagen de la ruta 'Vuelta a las Agujas de Montserrat desde Can Maçana'. ubicada en El Bruc, Montserrat, Anoia, Barcelona, Cataluña, España. fichero de imagen: D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p7_img1.jpeg.",image,0,7,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p7_img1.jpeg,False,España,Cataluña,Barcelona,Anoia,Montserrat,El Bruc,Vuelta a las Agujas de Montserrat desde Can Maçana,Rutas circulares;Paisajes pintorescos;Familias y niños,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,7 km,714.0,980.0,+ 500 m / - 500 m,3:05 h,Aparcamiento Coll Can Maçana,El Bruc,https://www.rutaspirineos.org/rutas/agulles-frares-encantats-montserrat-can-massana,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es.pdf,11/11/2025
0_img-8,"Imagen de la ruta 'Vuelta a las Agujas de Montserrat desde Can Maçana'. ubicada en El Bruc, Montserrat, Anoia, Barcelona, Cataluña, España. fichero de imagen: D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p7_img2.jpeg.",image,0,8,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p7_img2.jpeg,False,España,Cataluña,Barcelona,Anoia,Montserrat,El Bruc,Vuelta a las Agujas de Montserrat desde Can Maçana,Rutas circulares;Paisajes pintorescos;Familias y niños,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,7 km,714.0,980.0,+ 500 m / - 500 m,3:05 h,Aparcamiento Coll Can Maçana,El Bruc,https://www.rutaspirineos.org/rutas/agulles-frares-encantats-montserrat-can-massana,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es.pdf,11/11/2025
0_img-9,"Imagen de la ruta 'Vuelta a las Agujas de Montserrat desde Can Maçana'. ubicada en El Bruc, Montserrat, Anoia, Barcelona, Cataluña, España. fichero de imagen: D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p8_img1.jpeg.",image,0,9,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p8_img1.jpeg,False,España,Cataluña,Barcelona,Anoia,Montserrat,El Bruc,Vuelta a las Agujas de Montserrat desde Can Maçana,Rutas circulares;Paisajes pintorescos;Familias y niños,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,7 km,714.0,980.0,+ 500 m / - 500 m,3:05 h,Aparcamiento Coll Can Maçana,El Bruc,https://www.rutaspirineos.org/rutas/agulles-frares-encantats-montserrat-can-massana,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es.pdf,11/11/2025
0_img-10,"Imagen de la ruta 'Vuelta a las Agujas de Montserrat desde Can Maçana'. ubicada en El Bruc, Montserrat, Anoia, Barcelona, Cataluña, España. fichero de imagen: D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p8_img2.jpeg.",image,0,10,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p8_img2.jpeg,False,España,Cataluña,Barcelona,Anoia,Montserrat,El Bruc,Vuelta a las Agujas de Montserrat desde Can Maçana,Rutas circulares;Paisajes pintorescos;Familias y niños,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,7 km,714.0,980.0,+ 500 m / - 500 m,3:05 h,Aparcamiento Coll Can Maçana,El Bruc,https://www.rutaspirineos.org/rutas/agulles-frares-encantats-montserrat-can-massana,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es.pdf,11/11/2025
