doc_id,content,data_type,route_id,img_orden,img_path,is_map,pais,region,provincia,comarca,zona,pueblo,nombre_ruta,categoria,dificultad,descripcion_dificultad,distancia_total_km,altitud_minima_m,altitud_maxima_m,desnivel_acumulado_pos,desnivel_acumulado_neg,tiempo_total_min,Punto_salida_llegada,poblacion_cercana,link_archivo,fecha
0_img-1,"Imagen de la ruta 'Vuelta a las Agujas de Montserrat desde Can Maçana'. ubicada en El Bruc, Montserrat, Anoia, Barcelona, Cataluña, España. fichero de imagen: D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p1_img1.jpeg.",image,0,1,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p1_img1.jpeg,False,España,Cataluña,Barcelona,Anoia,Montserrat,El Bruc,Vuelta a las Agujas de Montserrat desde Can Maçana,Rutas circulares;Paisajes pintorescos;Familias y niños,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,7.0,714.0,980.0,500.0,,185.0,Aparcamiento Coll Can Maçana,El Bruc,https://www.rutaspirineos.org/rutas/agulles-frares-encantats-montserrat-can-massana,11/11/2025
0_img-2,"Imagen de la ruta 'Vuelta a las Agujas de Montserrat desde Can Maçana'. ubicada en El Bruc, Montserrat, Anoia, Barcelona, Cataluña, España. fichero de imagen: D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p3_img1.jpeg.",image,0,2,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p3_img1.jpeg,False,España,Cataluña,Barcelona,Anoia,Montserrat,El Bruc,Vuelta a las Agujas de Montserrat desde Can Maçana,Rutas circulares;Paisajes pintorescos;Familias y niños,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,7.0,714.0,980.0,500.0,,185.0,Aparcamiento Coll Can Maçana,El Bruc,https://www.rutaspirineos.org/rutas/agulles-frares-encantats-montserrat-can-massana,11/11/2025
0_img-3,"Imagen de la ruta 'Vuelta a las Agujas de Montserrat desde Can Maçana'. ubicada en El Bruc, Montserrat, Anoia, Barcelona, Cataluña, España. fichero de imagen: D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p4_img1.jpeg.",image,0,3,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p4_img1.jpeg,False,España,Cataluña,Barcelona,Anoia,Montserrat,El Bruc,Vuelta a las Agujas de Montserrat desde Can Maçana,Rutas circulares;Paisajes pintorescos;Familias y niños,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,7.0,714.0,980.0,500.0,,185.0,Aparcamiento Coll Can Maçana,El Bruc,https://www.rutaspirineos.org/rutas/agulles-frares-encantats-montserrat-can-massana,11/11/2025
0_img-4,"Imagen de la ruta 'Vuelta a las Agujas de Montserrat desde Can Maçana'. ubicada en El Bruc, Montserrat, Anoia, Barcelona, Cataluña, España. fichero de imagen: D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p5_img1.jpeg.",image,0,4,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p5_img1.jpeg,False,España,Cataluña,Barcelona,Anoia,Montserrat,El Bruc,Vuelta a las Agujas de Montserrat desde Can Maçana,Rutas circulares;Paisajes pintorescos;Familias y niños,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,7.0,714.0,980.0,500.0,,185.0,Aparcamiento Coll Can Maçana,El Bruc,https://www.rutaspirineos.org/rutas/agulles-frares-encantats-montserrat-can-massana,11/11/2025
0_img-5,"Imagen de la ruta 'Vuelta a las Agujas de Montserrat desde Can Maçana'. ubicada en El Bruc, Montserrat, Anoia, Barcelona, Cataluña, España. fichero de imagen: D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p5_img2.jpeg.",image,0,5,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p5_img2.jpeg,False,España,Cataluña,Barcelona,Anoia,Montserrat,El Bruc,Vuelta a las Agujas de Montserrat desde Can Maçana,Rutas circulares;Paisajes pintorescos;Familias y niños,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,7.0,714.0,980.0,500.0,,185.0,Aparcamiento Coll Can Maçana,El Bruc,https://www.rutaspirineos.org/rutas/agulles-frares-encantats-montserrat-can-massana,11/11/2025
0_img-6,"Imagen de la ruta 'Vuelta a las Agujas de Montserrat desde Can Maçana'. ubicada en El Bruc, Montserrat, Anoia, Barcelona, Cataluña, España. fichero de imagen: D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p6_img1.jpeg.",image,0,6,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p6_img1.jpeg,False,España,Cataluña,Barcelona,Anoia,Montserrat,El Bruc,Vuelta a las Agujas de Montserrat desde Can Maçana,Rutas circulares;Paisajes pintorescos;Familias y niños,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,7.0,714.0,980.0,500.0,,185.0,Aparcamiento Coll Can Maçana,El Bruc,https://www.rutaspirineos.org/rutas/agulles-frares-encantats-montserrat-can-massana,11/11/2025
0_img-7,"Imagen de la ruta 'Vuelta a las Agujas de Montserrat desde Can Maçana'. ubicada en El Bruc, Montserrat, Anoia, Barcelona, Cataluña, España. fichero de imagen: D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p7_img1.jpeg.",image,0,7,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p7_img1.jpeg,False,España,Cataluña,Barcelona,Anoia,Montserrat,El Bruc,Vuelta a las Agujas de Montserrat desde Can Maçana,Rutas circulares;Paisajes pintorescos;Familias y niños,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,7.0,714.0,980.0,500.0,,185.0,Aparcamiento Coll Can Maçana,El Bruc,https://www.rutaspirineos.org/rutas/agulles-frares-encantats-montserrat-can-massana,11/11/2025
0_img-8,"Imagen de la ruta 'Vuelta a las Agujas de Montserrat desde Can Maçana'. ubicada en El Bruc, Montserrat, Anoia, Barcelona, Cataluña, España. fichero de imagen: D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p7_img2.jpeg.",image,0,8,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p7_img2.jpeg,False,España,Cataluña,Barcelona,Anoia,Montserrat,El Bruc,Vuelta a las Agujas de Montserrat desde Can Maçana,Rutas circulares;Paisajes pintorescos;Familias y niños,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,7.0,714.0,980.0,500.0,,185.0,Aparcamiento Coll Can Maçana,El Bruc,https://www.rutaspirineos.org/rutas/agulles-frares-encantats-montserrat-can-massana,11/11/2025
0_img-9,"Imagen de la ruta 'Vuelta a las Agujas de Montserrat desde Can Maçana'. ubicada en El Bruc, Montserrat, Anoia, Barcelona, Cataluña, España. fichero de imagen: D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p8_img1.jpeg.",image,0,9,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p8_img1.jpeg,False,España,Cataluña,Barcelona,Anoia,Montserrat,El Bruc,Vuelta a las Agujas de Montserrat desde Can Maçana,Rutas circulares;Paisajes pintorescos;Familias y niños,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,7.0,714.0,980.0,500.0,,185.0,Aparcamiento Coll Can Maçana,El Bruc,https://www.rutaspirineos.org/rutas/agulles-frares-encantats-montserrat-can-massana,11/11/2025
0_img-10,"Imagen de la ruta 'Vuelta a las Agujas de Montserrat desde Can Maçana'. ubicada en El Bruc, Montserrat, Anoia, Barcelona, Cataluña, España. fichero de imagen: D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p8_img2.jpeg.",image,0,10,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_img\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es_p8_img2.jpeg,False,España,Cataluña,Barcelona,Anoia,Montserrat,El Bruc,Vuelta a las Agujas de Montserrat desde Can Maçana,Rutas circulares;Paisajes pintorescos;Familias y niños,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,7.0,714.0,980.0,500.0,,185.0,Aparcamiento Coll Can Maçana,El Bruc,https://www.rutaspirineos.org/rutas/agulles-frares-encantats-montserrat-can-massana,11/11/2025
