doc_id,content,data_type,meta_route_id,meta_wp_orden,meta_punto_de_paso,meta_tiempo,meta_altura,meta_latitud,meta_longitud,meta_table_idx,meta_pais,meta_region,meta_provincia,meta_comarca,meta_zona,meta_pueblo,meta_nombre_ruta,meta_categoria,meta_dificultad,meta_descripcion_dificultad,meta_distancia_total_km,meta_altitud_minima_m,meta_altitud_maxima_m,meta_desnivel_acumulado_pos,meta_desnivel_acumulado_neg,meta_tiempo_total_min,meta_Punto_salida_llegada,meta_poblacion_cercana,meta_link_archivo,meta_fecha
1_wp-1,"Waypoint 'Puente de Ca la Rosalia', tiempo 0:00h, altura 944m, coordenadas 42.180608º, 1.424975º.",waypoint,1,1,Puente de Ca la Rosalia,0:00h,944m,42.180608º,1.424975º,2,España,Cataluña,Lérida,Alto Urgel,La Montaña de Alinyà,Fígols y Alinyà,Aiguaneix de Alinyà,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas;Rutas circulares",Baja,"Paseos cortos, con poco desnivel y sin dificultades.",3.2,944.0,1112.0,210.0,,75.0,Puente de Ca la Rosalia,Alinyà,https://www.rutaspirineos.org/rutas/aiguaneix-alinya-urgell,11/11/2025
1_wp-2,"Waypoint 'Sendero señalizado', tiempo 0:15h, altura 985m, coordenadas 42.179270º, 1.427997º.",waypoint,1,2,Sendero señalizado,0:15h,985m,42.179270º,1.427997º,2,España,Cataluña,Lérida,Alto Urgel,La Montaña de Alinyà,Fígols y Alinyà,Aiguaneix de Alinyà,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas;Rutas circulares",Baja,"Paseos cortos, con poco desnivel y sin dificultades.",3.2,944.0,1112.0,210.0,,75.0,Puente de Ca la Rosalia,Alinyà,https://www.rutaspirineos.org/rutas/aiguaneix-alinya-urgell,11/11/2025
1_wp-3,"Waypoint 'Descartamos un desvío', tiempo 0:20h, altura 1.031m, coordenadas 42.178689º, 1.429488º.",waypoint,1,3,Descartamos un desvío,0:20h,1.031m,42.178689º,1.429488º,2,España,Cataluña,Lérida,Alto Urgel,La Montaña de Alinyà,Fígols y Alinyà,Aiguaneix de Alinyà,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas;Rutas circulares",Baja,"Paseos cortos, con poco desnivel y sin dificultades.",3.2,944.0,1112.0,210.0,,75.0,Puente de Ca la Rosalia,Alinyà,https://www.rutaspirineos.org/rutas/aiguaneix-alinya-urgell,11/11/2025
1_wp-4,"Waypoint 'El Aiguaneix', tiempo 0:35h, altura 1.095m, coordenadas 42.175099º, 1.432630º.",waypoint,1,4,El Aiguaneix,0:35h,1.095m,42.175099º,1.432630º,2,España,Cataluña,Lérida,Alto Urgel,La Montaña de Alinyà,Fígols y Alinyà,Aiguaneix de Alinyà,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas;Rutas circulares",Baja,"Paseos cortos, con poco desnivel y sin dificultades.",3.2,944.0,1112.0,210.0,,75.0,Puente de Ca la Rosalia,Alinyà,https://www.rutaspirineos.org/rutas/aiguaneix-alinya-urgell,11/11/2025
1_wp-5,"Waypoint 'La Collada', tiempo 0:45h, altura 1.112m, coordenadas 42.176781º, 1.428314º.",waypoint,1,5,La Collada,0:45h,1.112m,42.176781º,1.428314º,2,España,Cataluña,Lérida,Alto Urgel,La Montaña de Alinyà,Fígols y Alinyà,Aiguaneix de Alinyà,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas;Rutas circulares",Baja,"Paseos cortos, con poco desnivel y sin dificultades.",3.2,944.0,1112.0,210.0,,75.0,Puente de Ca la Rosalia,Alinyà,https://www.rutaspirineos.org/rutas/aiguaneix-alinya-urgell,11/11/2025
1_wp-6,"Waypoint 'Puente de Ca la Rosalia', tiempo 1:15h, altura 944m, coordenadas 42.180608º, 1.424975º.",waypoint,1,6,Puente de Ca la Rosalia,1:15h,944m,42.180608º,1.424975º,2,España,Cataluña,Lérida,Alto Urgel,La Montaña de Alinyà,Fígols y Alinyà,Aiguaneix de Alinyà,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas;Rutas circulares",Baja,"Paseos cortos, con poco desnivel y sin dificultades.",3.2,944.0,1112.0,210.0,,75.0,Puente de Ca la Rosalia,Alinyà,https://www.rutaspirineos.org/rutas/aiguaneix-alinya-urgell,11/11/2025
2_wp-1,"Waypoint 'Caseta de información de Aigüestortes', tiempo 0:00h, altura 1.828m, coordenadas 42.5518014º, 0.9123587º.",waypoint,2,1,Caseta de información de Aigüestortes,0:00h,1.828m,42.5518014º,0.9123587º,1,España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Boí,Estany Llong y Portarró de Espot desde Aigüestortes,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,17.5,1824.0,2427.0,625.0,,330.0,Caseta de Aigüestortes,Boí,https://www.rutaspirineos.org/rutas/aiguestortes-estany-llong-redo-portarro-espot,11/11/2025
2_wp-2,"Waypoint 'Puente de Morrano - Aigüestortes', tiempo 0:15h, altura 1.824m, coordenadas 42.5523739º, 0.9188190º.",waypoint,2,2,Puente de Morrano - Aigüestortes,0:15h,1.824m,42.5523739º,0.9188190º,1,España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Boí,Estany Llong y Portarró de Espot desde Aigüestortes,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,17.5,1824.0,2427.0,625.0,,330.0,Caseta de Aigüestortes,Boí,https://www.rutaspirineos.org/rutas/aiguestortes-estany-llong-redo-portarro-espot,11/11/2025
2_wp-3,"Waypoint 'Prados de Aiguadassi', tiempo 1:05h, altura 1.904m, coordenadas 42.569518º, 0.9334409º.",waypoint,2,3,Prados de Aiguadassi,1:05h,1.904m,42.569518º,0.9334409º,1,España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Boí,Estany Llong y Portarró de Espot desde Aigüestortes,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,17.5,1824.0,2427.0,625.0,,330.0,Caseta de Aigüestortes,Boí,https://www.rutaspirineos.org/rutas/aiguestortes-estany-llong-redo-portarro-espot,11/11/2025
2_wp-4,"Waypoint 'Refugio del Estany Llong', tiempo 1:25h, altura 1.987m, coordenadas 42.5725770º, 0.9422400º.",waypoint,2,4,Refugio del Estany Llong,1:25h,1.987m,42.5725770º,0.9422400º,1,España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Boí,Estany Llong y Portarró de Espot desde Aigüestortes,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,17.5,1824.0,2427.0,625.0,,330.0,Caseta de Aigüestortes,Boí,https://www.rutaspirineos.org/rutas/aiguestortes-estany-llong-redo-portarro-espot,11/11/2025
