Pais,Region,Provincia,Comarca,Zona,Pueblo,Nombre de la ruta,Categoria,Dificultad,Descripcion dificultad,Distancia Total,Altitud minima,Altitud máxima,Desnivel acumulado,Tiempo total efectivo,Punto de salida / llegada,Población más cercana,Link archivo,Pdf_path,Fecha
España,Cataluña,Gerona,El Ripollés,Valle de Camprodón,Beget,Beget y Rocabruna por caminos de contrabandistas,"Paisajes pintorescos;Rutas circulares;Patrimonio histórico;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"12,9 km",533,1.140,740m,4:00h,Beget,Beget,https://www.rutaspirineos.org/rutas/beget-i-rocabruna-per-camins-de-contrabandistes,True,11/11/2025
España,Cataluña,Gerona,El Ripollés,Bajo Ripollés y Montgrony,Gombrèn,Camino antiguo del santuario de Montgrony desde Gombrèn,Familias y niños;Patrimonio histórico,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"6,2 km",909,1.403,500m,2:50h,Plaza del Roser (Gombrèn),Gombrèn,https://www.rutaspirineos.org/rutas/santuari-de-montgrony-gombren-ripolles,True,11/11/2025
España,Cataluña,Gerona,El Ripollés,Valle de Ribes y Nuria,Queralbs,Camino Viejo de Queralbs a Núria,"Patrimonio histórico;Lagos, ríos y cascadas;Paisajes pintorescos",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"7,2 km",1.180,1.987,+932m / -152m,3:45h,Estación de tren de Queralbs,Queralbs,https://www.rutaspirineos.org/rutas/cami-vell-de-queralbs-a-nuria,True,11/11/2025
España,Cataluña,Gerona,El Ripollés,Valle de Ribes y Nuria,Ribes de Freser,Circular por el Alt Freser desde Ribes,Rutas circulares;Patrimonio histórico,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"15,4 km",925,1.350,640m,4:30h,Castillo de Sant Pere,Ribes de Freser,https://www.rutaspirineos.org/rutas/circular-veinats-alt-freser-des-de-ribes-ripolles,True,11/11/2025
España,Cataluña,Gerona,El Ripollés,Bajo Ripollés y Montgrony,Gombrèn,Costa Pubilla o Pla de Pujalts (2.056m) en el Montgrony,Rutas circulares;Ascensiones media montaña,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"13,6 km",1.342,2.056,775m,4:30h,Santuario de Montgrony,Gombrèn,https://www.rutaspirineos.org/rutas/costa-pubilla-pla-de-pujalts-santuari-montgrony-ripolles,True,11/11/2025
España,Cataluña,Gerona,El Ripollés,Valle de Camprodón,Setcases,Gra de Fajol (2.714m) por el espolón NE,Rutas circulares;Ascensiones alta montaña;Crestas y corredores,Alta (AD),"Rutas de alta montaña en un terreno bastante vertical y donde los agarres son menos evidentes. Se trata de vías de escalada de dificultad moderada, con el uso obligatorio de la cuerda.",6 km,2.087,2.714,640m,4:45h,Pàrking refugio de Ulldeter,Setcases,https://www.rutaspirineos.org/rutas/espolon-nord-este-del-gra-de-fajol,True,11/11/2025
España,Cataluña,Gerona,El Ripollés,Valle de Camprodón,Llanars,La fuente de las Dous per los llanos de Espinalba y de Abella,Rutas circulares;Familias y niños;Paisajes pintorescos,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"11,2 km",982,1.420,525m,3:40h,Puente del Molí de Llanars,Llanars,https://www.rutaspirineos.org/rutas/font-de-les-dous-espinalba-abella-llanars,True,11/11/2025
España,Cataluña,Gerona,El Ripollés,Valle de Ribes y Nuria,Queralbs,La Olla de Núria,Ascensiones alta montaña;Rutas circulares;Crestas y corredores,Alta,Excursiones exigentes de alta montaña con desniveles y distancias importantes.,21 km,1.960,2.913,1.800m,8:35h,Entrada al santuario de Núria.,Queralbs,https://www.rutaspirineos.org/rutas/olla-de-nuria-vall-de-nuria-ripolles,True,11/11/2025
España,Cataluña,Gerona,El Ripollés,Bajo Ripollés y Montgrony,Vallfogona de Ripollès,La sierra de Puig d'Estela en Vallfogona de Ripollès,Rutas circulares;Patrimonio histórico,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"12,2 km",947,1.300,405m,3:20h,Calle Puig Estela,Vallfogona de Ripollès,https://www.rutaspirineos.org/rutas/serra-del-puig-estela-des-de-vallfogona-de-ripolles,True,11/11/2025
España,Cataluña,Gerona,El Ripollés,Bajo Ripollés y Montgrony,Les Llosses,Matamala y Les Llosses por antiguos caminos de herradura,Rutas circulares;Familias y niños;Patrimonio histórico,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"8,8 km",900,1.104,225m,2:30h,Santa Maria de Matamala,Les Llosses,https://www.rutaspirineos.org/rutas/matamala-i-les-llosses-per-antics-camins-de-ferradura,True,11/11/2025
España,Cataluña,Gerona,El Ripollés,Valle de Ribes y Nuria,Ribes de Freser,Por Campelles y Ribes de Freser bajo la mirada del Taga,Rutas circulares;Patrimonio histórico;Paisajes pintorescos,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"14,6 km",840,1.305,720m,4:00h,Puente Ribes de Freser (N-260),Ribes de Freser,https://www.rutaspirineos.org/rutas/ribes-de-freser-campelles-sota-mirada-taga,True,11/11/2025
España,Cataluña,Gerona,El Ripollés,Valle de Ribes y Nuria,Queralbs,Puigmal (2.913m) por Fontalba,Rutas circulares;Ascensiones alta montaña,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.",15 km,1.980,2.913,1.000m,4:30h,Collada de Fontalba,Queralbs,https://www.rutaspirineos.org/rutas/puigmal-por-fontalba,True,11/11/2025
España,Cataluña,Gerona,El Ripollés,Valle de Ribes y Nuria,Ribes de Freser,Taga (2.040m) desde Pardines,Rutas circulares;Ascensiones media montaña,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,12 km,1.270,2.040,770m,3:45h,Santa Magdalena de Puigsac,Pardines,https://www.rutaspirineos.org/rutas/taga-desde-pardines,True,11/11/2025
España,Cataluña,Gerona,El Ripollés,Valle de Camprodón,,GR 11 - Etapa 08: Beget - Setcases,Rutas por etapas y GRs,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"23,0 km",531,1.865,+1.600m / -861m,6:50h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-08-beget-setcases,True,11/11/2025
España,Cataluña,Gerona,El Ripollés,Valle de Camprodón,,GR 11 - Etapa 09: Setcases - Santuario de Nuria,Rutas por etapas y GRs,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","19,5 km",1.270,2.826,+1.750m / -1.060m,6:40h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-09-setcases-santuario-de-nuria,C:\Users\jessi\OneDrive\Escritorio\MÁSTER-UOC\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-gr-11-transpirenaica-etapa-09-setcases-santuario-de-nuria_es.pdf,11/11/2025
España,Cataluña,Gerona,El Ripollés,Valle de Ribes y Nuria,,GR 11 - Etapa 10: Santuario de Nuria - Planoles,Rutas por etapas y GRs,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"17,5 km",1.145,1.986,+840m / -1.655m,5:45h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-10-santuario-de-nuria-planoles,True,11/11/2025
España,Cataluña,Gerona,El Ripollés,Valle de Ribes y Nuria,,GR 11 - Etapa 11: Planoles - Puigcerdá,Rutas por etapas y GRs,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"27,5 km",1.124,2.005,+1.025m / -1.030m,7:25h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-11-planoles-puigcerda,C:\Users\jessi\OneDrive\Escritorio\MÁSTER-UOC\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-gr-11-transpirenaica-etapa-11-planoles-puigcerda_es.pdf,11/11/2025
España,Cataluña,Gerona,Garrotxa,La comarca de Olot,Olot,"Circuito de los volcanes, lavas y antiguos lagos",Familias y niños;Rutas circulares;Paisajes pintorescos,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"10,8 km",435,604,175m,2:40h,Parc Nou de Olot,Olot,https://www.rutaspirineos.org/rutas/circuit-dels-volcans-laves-i-antics-llacs,True,11/11/2025
España,Cataluña,Gerona,Garrotxa,La comarca de Olot,Besalú,Circular Besalú - Beuda,Patrimonio histórico;Rutas circulares;Familias y niños,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"13,5 km",154,370,380m,3:20h,Parada de autobús de Besalú,Besalú,https://www.rutaspirineos.org/rutas/circuit-de-besalu-beuda,True,11/11/2025
España,Cataluña,Gerona,Garrotxa,Alta Garrotxa,Montagut i Oix,De Sadernes a Santa Bàrbara en la Alta Garrotxa,Paisajes pintorescos;Familias y niños;Patrimonio histórico;Rutas circulares,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"10,1 km",249,722,552m,2:45h,Sadernes,Montagut i Oix,https://www.rutaspirineos.org/rutas/de-sadernes-a-santa-barbara-de-pruneres,True,11/11/2025
España,Cataluña,Gerona,Garrotxa,La comarca de Olot,Vall de Bas,El mirador de la Vall d'en Bas,"Patrimonio histórico;Lagos, ríos y cascadas;Rutas circulares",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"10,9 km",604,1.280,725m,3:15h,Área Pla d'en Xurri,Sant Privat d'en Bas,https://www.rutaspirineos.org/rutas/mirador-de-la-vall-en-bas-santa-magdalena-del-mont-les-olletes,True,11/11/2025
España,Cataluña,Gerona,Garrotxa,Alta Garrotxa,La Vall de Bianya,La atalaya sobre la Via Annia en la Garrotxa,Familias y niños;Patrimonio histórico;Rutas circulares;Ascensiones media montaña,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,8 km,365,793,450m,2:30h,Hostalnou de Bianya,La Vall de Bianya,https://www.rutaspirineos.org/rutas/la-talaia-sobre-la-via-annia,True,11/11/2025
España,Cataluña,Gerona,Garrotxa,La comarca de Olot,Santa Pau,Por antiguos caminos de monjes en Sant Julià del Mont,Patrimonio histórico;Ascensiones media montaña;Rutas circulares,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"15,3 km",456,907,800m,4:40 h,Calle Mayor - Santa Pau,Santa Pau,https://www.rutaspirineos.org/rutas/per-antics-camins-de-monjos-a-sant-julia-del-mont,True,11/11/2025
