route_id,pais,region,provincia,comarca,zona,pueblo,nombre_ruta,categoria,dificultad,descripcion_dificultad,distancia_total,altitud_minima,altitud_maxima,desnivel_acumulado,Tiempo_total,Punto_salida_llegada,poblacion_cercana,link_archivo,pdf_path,fecha
0,España,Cataluña,Barcelona,Anoia,Montserrat,El Bruc,Vuelta a las Agujas de Montserrat desde Can Maçana,Rutas circulares;Paisajes pintorescos;Familias y niños,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,7 km,714.0,980.0,+ 500 m / - 500 m,3:05 h,Aparcamiento Coll Can Maçana,El Bruc,https://www.rutaspirineos.org/rutas/agulles-frares-encantats-montserrat-can-massana,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es.pdf,11/11/2025
1,España,Cataluña,Lérida,Alto Urgel,La Montaña de Alinyà,Fígols y Alinyà,Aiguaneix de Alinyà,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas;Rutas circulares",Baja,"Paseos cortos, con poco desnivel y sin dificultades.","3,2 km",944.0,1.112,210m,1:15h,Puente de Ca la Rosalia,Alinyà,https://www.rutaspirineos.org/rutas/aiguaneix-alinya-urgell,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-aiguaneix-alinya-urgell_es.pdf,11/11/2025
2,España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Boí,Estany Llong y Portarró de Espot desde Aigüestortes,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"17,5 km",1.824,2.427,625m,5:30h,Caseta de Aigüestortes,Boí,https://www.rutaspirineos.org/rutas/aiguestortes-estany-llong-redo-portarro-espot,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-aiguestortes-estany-llong-redo-portarro-espot_es.pdf,11/11/2025
3,España,Cataluña,Gerona,Gironés,Las Gavarres (Gironés),Madremanya,Al pie de las Gavarres desde Madremanya,Familias y niños;Rutas circulares,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","7,6 km",111.0,180.0,143m,2:00h,Entrada Madremanya,Madremanya,https://www.rutaspirineos.org/rutas/al-peu-de-les-gavarres-des-de-madremanya,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-al-peu-de-les-gavarres-des-de-madremanya_es.pdf,11/11/2025
4,España,Cataluña,Gerona,Alto Ampurdán,La llanura ampurdanesa,Castellón de Ampurias,La Reserva Integral de Les Llaunes,"Flora y fauna;Rutas circulares;Lagos, ríos y cascadas;Familias y niños",Baja,"Paseos cortos, con poco desnivel y sin dificultades.","8,2 km",1.0,2.0,2m,2:05h,El Cortalet,Castellón de Ampurias,https://www.rutaspirineos.org/rutas/al-voltant-de-la-reserva-integral-de-les-llaunes,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-al-voltant-de-la-reserva-integral-de-les-llaunes_es.pdf,11/11/2025
5,España,Cataluña,Barcelona,Berguedá,Bajo Berguedá,Puig-reig,Ermita y castillo de Merola desde la colonia de la Ametlla de Merola,"Lagos, ríos y cascadas;Patrimonio histórico",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"8,3 km",320.0,407.0,+172 m / - 172 m,2:50 h,Aparcamiento Ametlla de Merola,Navàs,https://www.rutaspirineos.org/rutas/ametlla-castillo-merola-bergueda,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-ametlla-castillo-merola-bergueda_es.pdf,11/11/2025
6,España,Cataluña,Barcelona,Anoia,Montserrat,Monistrol de Montserrat,Ascensión a la Miranda de Sant Jeroni (1.236 m),Paisajes pintorescos;Ascensiones media montaña;Rutas circulares;Patrimonio histórico,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"10,1 km",705.0,1.236,565 m,4:00 h,Estación superior del cremallera,Monistrol de Montserrat,https://www.rutaspirineos.org/rutas/ascension-miranda-sant-jeroni-montserrat,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-ascension-miranda-sant-jeroni-montserrat_es.pdf,11/11/2025
7,España,Cataluña,Lérida,Val d'Aran,Vielha-Mijaran,Vielha,Bassa d'Oles y bosque de Varicauba,"Familias y niños;Rutas circulares;Lagos, ríos y cascadas",Baja,"Paseos cortos, con poco desnivel y sin dificultades.","0,7 km",1.596,1.602,10m,0:20h,Aparcamiento Bassa d'Oles,Gausac,https://www.rutaspirineos.org/rutas/bassa-d-oles,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-bassa-d-oles_es.pdf,11/11/2025
8,España,Cataluña,Lérida,Pallars Sobirá,El Valle de Àssua y el Batlliu de Sort,Sort,Itinerario por el Batlliu de Sort,Familias y niños;Rutas circulares;Patrimonio histórico,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"12,8 km",700.0,1.304,720m,3:50h,Sort - Hotel Les Brases,Sort,https://www.rutaspirineos.org/rutas/batlliu-de-sort,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-batlliu-de-sort_es.pdf,11/11/2025
9,España,Cataluña,Gerona,El Ripollés,Valle de Camprodón,Beget,Beget y Rocabruna por caminos de contrabandistas,"Paisajes pintorescos;Rutas circulares;Patrimonio histórico;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"12,9 km",533.0,1.14,740m,4:00h,Beget,Beget,https://www.rutaspirineos.org/rutas/beget-i-rocabruna-per-camins-de-contrabandistes,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-beget-i-rocabruna-per-camins-de-contrabandistes_es.pdf,11/11/2025
