route_id,pais,region,provincia,comarca,zona,pueblo,nombre_ruta,categoria,dificultad,descripcion_dificultad,distancia_total,altitud_minima,altitud_maxima,desnivel_acumulado,Tiempo_total,Punto_salida_llegada,poblacion_cercana,link_archivo,pdf_path,fecha,distancia_total_km,altitud_minima_m,altitud_maxima_m,desnivel_acumulado_pos,desnivel_acumulado_neg,tiempo_total_min,dificultad_org,pais_org,region_org,provincia_org,comarca_org,zona_org,pueblo_org,nombre_ruta_org,Punto_salida_llegada_org,poblacion_cercana_org,categoria_org
0,espana,cataluna,barcelona,anoia,montserrat,el bruc,vuelta a las agujas de montserrat desde can macana,rutas circulares;paisajes pintorescos;familias y ninos,media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,7 km,714.0,980.0,+ 500 m / - 500 m,3:05 h,aparcamiento coll can macana,el bruc,https://www.rutaspirineos.org/rutas/agulles-frares-encantats-montserrat-can-massana,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-agulles-frares-encantats-montserrat-can-massana_es.pdf,11/11/2025,7.0,714.0,980.0,500.0,,185.0,Media,España,Cataluña,Barcelona,Anoia,Montserrat,El Bruc,Vuelta a las Agujas de Montserrat desde Can Maçana,Aparcamiento Coll Can Maçana,El Bruc,rutas circulares;paisajes pintorescos;familias y ninos
1,espana,cataluna,lerida,alto urgel,la montana de alinya,figols y alinya,aiguaneix de alinya,paisajes pintorescos;familias y ninos;lagos;rios y cascadas;rutas circulares,baja,"Paseos cortos, con poco desnivel y sin dificultades.","3,2 km",944.0,1.112,210m,1:15h,puente de ca la rosalia,alinya,https://www.rutaspirineos.org/rutas/aiguaneix-alinya-urgell,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-aiguaneix-alinya-urgell_es.pdf,11/11/2025,3.2,944.0,1112.0,210.0,,75.0,Baja,España,Cataluña,Lérida,Alto Urgel,La Montaña de Alinyà,Fígols y Alinyà,Aiguaneix de Alinyà,Puente de Ca la Rosalia,Alinyà,paisajes pintorescos;familias y ninos;lagos;rios y cascadas;rutas circulares
2,espana,cataluna,lerida,alta ribagorza,valle de boi,boi,estany llong y portarro de espot desde aiguestortes,paisajes pintorescos;familias y ninos;lagos;rios y cascadas,alta,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"17,5 km",1.824,2.427,625m,5:30h,caseta de aiguestortes,boi,https://www.rutaspirineos.org/rutas/aiguestortes-estany-llong-redo-portarro-espot,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-aiguestortes-estany-llong-redo-portarro-espot_es.pdf,11/11/2025,17.5,1824.0,2427.0,625.0,,330.0,Notable,España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Boí,Estany Llong y Portarró de Espot desde Aigüestortes,Caseta de Aigüestortes,Boí,paisajes pintorescos;familias y ninos;lagos;rios y cascadas
3,espana,cataluna,gerona,girones,las gavarres girones,madremanya,al pie de las gavarres desde madremanya,familias y ninos;rutas circulares,baja,"Paseos cortos, con poco desnivel y sin dificultades.","7,6 km",111.0,180.0,143m,2:00h,entrada madremanya,madremanya,https://www.rutaspirineos.org/rutas/al-peu-de-les-gavarres-des-de-madremanya,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-al-peu-de-les-gavarres-des-de-madremanya_es.pdf,11/11/2025,7.6,111.0,180.0,143.0,,120.0,Baja,España,Cataluña,Gerona,Gironés,Las Gavarres (Gironés),Madremanya,Al pie de las Gavarres desde Madremanya,Entrada Madremanya,Madremanya,familias y ninos;rutas circulares
4,espana,cataluna,gerona,alto ampurdan,la llanura ampurdanesa,castellon de ampurias,la reserva integral de les llaunes,flora y fauna;rutas circulares;lagos;rios y cascadas;familias y ninos,baja,"Paseos cortos, con poco desnivel y sin dificultades.","8,2 km",1.0,2.0,2m,2:05h,el cortalet,castellon de ampurias,https://www.rutaspirineos.org/rutas/al-voltant-de-la-reserva-integral-de-les-llaunes,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-al-voltant-de-la-reserva-integral-de-les-llaunes_es.pdf,11/11/2025,8.2,1.0,2.0,2.0,,125.0,Baja,España,Cataluña,Gerona,Alto Ampurdán,La llanura ampurdanesa,Castellón de Ampurias,La Reserva Integral de Les Llaunes,El Cortalet,Castellón de Ampurias,flora y fauna;rutas circulares;lagos;rios y cascadas;familias y ninos
5,espana,cataluna,barcelona,bergueda,bajo bergueda,puigreig,ermita y castillo de merola desde la colonia de la ametlla de merola,lagos;rios y cascadas;patrimonio historico,media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"8,3 km",320.0,407.0,+172 m / - 172 m,2:50 h,aparcamiento ametlla de merola,navas,https://www.rutaspirineos.org/rutas/ametlla-castillo-merola-bergueda,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-ametlla-castillo-merola-bergueda_es.pdf,11/11/2025,8.3,320.0,407.0,172.0,,170.0,Media,España,Cataluña,Barcelona,Berguedá,Bajo Berguedá,Puig-reig,Ermita y castillo de Merola desde la colonia de la Ametlla de Merola,Aparcamiento Ametlla de Merola,Navàs,lagos;rios y cascadas;patrimonio historico
6,espana,cataluna,barcelona,anoia,montserrat,monistrol de montserrat,ascension a la miranda de sant jeroni 1236 m,paisajes pintorescos;ascensiones media montana;rutas circulares;patrimonio historico,media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"10,1 km",705.0,1.236,565 m,4:00 h,estacion superior del cremallera,monistrol de montserrat,https://www.rutaspirineos.org/rutas/ascension-miranda-sant-jeroni-montserrat,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-ascension-miranda-sant-jeroni-montserrat_es.pdf,11/11/2025,10.1,705.0,1236.0,565.0,,240.0,Media,España,Cataluña,Barcelona,Anoia,Montserrat,Monistrol de Montserrat,Ascensión a la Miranda de Sant Jeroni (1.236 m),Estación superior del cremallera,Monistrol de Montserrat,paisajes pintorescos;ascensiones media montana;rutas circulares;patrimonio historico
7,espana,cataluna,lerida,val daran,vielhamijaran,vielha,bassa doles y bosque de varicauba,familias y ninos;rutas circulares;lagos;rios y cascadas,baja,"Paseos cortos, con poco desnivel y sin dificultades.","0,7 km",1.596,1.602,10m,0:20h,aparcamiento bassa doles,gausac,https://www.rutaspirineos.org/rutas/bassa-d-oles,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-bassa-d-oles_es.pdf,11/11/2025,0.7,1596.0,1602.0,10.0,,20.0,Baja,España,Cataluña,Lérida,Val d'Aran,Vielha-Mijaran,Vielha,Bassa d'Oles y bosque de Varicauba,Aparcamiento Bassa d'Oles,Gausac,familias y ninos;rutas circulares;lagos;rios y cascadas
8,espana,cataluna,lerida,pallars sobira,el valle de assua y el batlliu de sort,sort,itinerario por el batlliu de sort,familias y ninos;rutas circulares;patrimonio historico,media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"12,8 km",700.0,1.304,720m,3:50h,sort  hotel les brases,sort,https://www.rutaspirineos.org/rutas/batlliu-de-sort,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-batlliu-de-sort_es.pdf,11/11/2025,12.8,700.0,1304.0,720.0,,230.0,Media,España,Cataluña,Lérida,Pallars Sobirá,El Valle de Àssua y el Batlliu de Sort,Sort,Itinerario por el Batlliu de Sort,Sort - Hotel Les Brases,Sort,familias y ninos;rutas circulares;patrimonio historico
9,espana,cataluna,gerona,el ripolles,valle de camprodon,beget,beget y rocabruna por caminos de contrabandistas,paisajes pintorescos;rutas circulares;patrimonio historico;lagos;rios y cascadas,alta,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"12,9 km",533.0,1.14,740m,4:00h,beget,beget,https://www.rutaspirineos.org/rutas/beget-i-rocabruna-per-camins-de-contrabandistes,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-beget-i-rocabruna-per-camins-de-contrabandistes_es.pdf,11/11/2025,12.9,533.0,1.14,740.0,,240.0,Notable,España,Cataluña,Gerona,El Ripollés,Valle de Camprodón,Beget,Beget y Rocabruna por caminos de contrabandistas,Beget,Beget,paisajes pintorescos;rutas circulares;patrimonio historico;lagos;rios y cascadas
