route_id,pdf_path,table_idx,punto_de_paso,tiempo,altura,latitud,longitud
1,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-aiguaneix-alinya-urgell_es.pdf,2,Puente de Ca la Rosalia,0:00h,944m,42.180608º,1.424975º,
1,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-aiguaneix-alinya-urgell_es.pdf,2,Sendero señalizado,0:15h,985m,42.179270º,1.427997º,
1,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-aiguaneix-alinya-urgell_es.pdf,2,Descartamos un desvío,0:20h,1.031m,42.178689º,1.429488º,
1,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-aiguaneix-alinya-urgell_es.pdf,2,El Aiguaneix,0:35h,1.095m,42.175099º,1.432630º,
1,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-aiguaneix-alinya-urgell_es.pdf,2,La Collada,0:45h,1.112m,42.176781º,1.428314º,
1,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-aiguaneix-alinya-urgell_es.pdf,2,Puente de Ca la Rosalia,1:15h,944m,42.180608º,1.424975º,
2,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-aiguestortes-estany-llong-redo-portarro-espot_es.pdf,1,Caseta de información de Aigüestortes,0:00h,1.828m,42.5518014º,0.9123587º,
2,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-aiguestortes-estany-llong-redo-portarro-espot_es.pdf,1,Puente de Morrano - Aigüestortes,0:15h,1.824m,42.5523739º,0.9188190º,
2,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-aiguestortes-estany-llong-redo-portarro-espot_es.pdf,1,Prados de Aiguadassi,1:05h,1.904m,42.569518º,0.9334409º,
2,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-aiguestortes-estany-llong-redo-portarro-espot_es.pdf,1,Refugio del Estany Llong,1:25h,1.987m,42.5725770º,0.9422400º,
2,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-aiguestortes-estany-llong-redo-portarro-espot_es.pdf,1,Lago Llong,1:30h,2.000m,42.5721120º,0.9476450º,
2,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-aiguestortes-estany-llong-redo-portarro-espot_es.pdf,1,Lago Redó,2:30h,2.110m,42.5796220º,0.9581189º,
2,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-aiguestortes-estany-llong-redo-portarro-espot_es.pdf,1,Barranco del Portarró,2:50h,2.190m,42.5770290º,0.9644430º,
2,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-aiguestortes-estany-llong-redo-portarro-espot_es.pdf,1,Portarró de Espot,3:15h,2.427m,42.5784990º,0.9735059º,
2,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-aiguestortes-estany-llong-redo-portarro-espot_es.pdf,1,Caseta de información de Aigüestortes,5:30h,1.828m,42.5518014º,0.9123587º,
3,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-al-peu-de-les-gavarres-des-de-madremanya_es.pdf,1,Madremanya - aparcamiento entrada,0:00h,170m,41.989845º,2.955511º,
3,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-al-peu-de-les-gavarres-des-de-madremanya_es.pdf,1,Millàs,0:25h,115m,41.988511º,2.970936º,
3,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-al-peu-de-les-gavarres-des-de-madremanya_es.pdf,1,Cruce de caminos,1:00h,141m,41.999467º,2.957820º,
3,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-al-peu-de-les-gavarres-des-de-madremanya_es.pdf,1,Antiguo molino,1:15h,115m,42.005453º,2.950060º,
3,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-al-peu-de-les-gavarres-des-de-madremanya_es.pdf,1,Madremanya - aparcamiento entrada,2:00h,170m,41.989845º,2.955511º,
4,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-al-voltant-de-la-reserva-integral-de-les-llaunes_es.pdf,1,El Cortalet,0:00h,2m,42.224419º,3.092580º,
4,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-al-voltant-de-la-reserva-integral-de-les-llaunes_es.pdf,1,Desvío del Mas Matà,0:25h,1m,42.212799º,3.099970º,
4,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-al-voltant-de-la-reserva-integral-de-les-llaunes_es.pdf,1,Playa,0:45h,1m,42.206181º,3.111230º,
4,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-al-voltant-de-la-reserva-integral-de-les-llaunes_es.pdf,1,Aparcamiento de Can Comes,1:20h,1m,42.226561º,3.118090º,
4,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-al-voltant-de-la-reserva-integral-de-les-llaunes_es.pdf,1,Cruce de pistas de Can Comes,1:40h,2m,42.232663º,3.106074º,
4,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-al-voltant-de-la-reserva-integral-de-les-llaunes_es.pdf,1,El Cortalet,2:05h,2m,42.224419º,3.092580º,
8,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-batlliu-de-sort_es.pdf,3,Sort - Hotel Les Brases,0:00h,700m,42.4149000º,1.1324230º,
8,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-batlliu-de-sort_es.pdf,3,Fuente de Fontanilles,1:00h,985m,42.4270190º,1.1182320º,
8,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-batlliu-de-sort_es.pdf,3,Olp,1:15h,1.095m,42.4301810º,1.1146040º,
8,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-batlliu-de-sort_es.pdf,3,4,,,,,
8,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-batlliu-de-sort_es.pdf,3,Pujalt,2:00h,1.162m,42.4162130º,1.1100780º,
8,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-batlliu-de-sort_es.pdf,3,Ermita de Sant Roc,2:30h,1.304m,42.4045240º,1.1062580º,
8,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-batlliu-de-sort_es.pdf,3,Enviny,2:50h,1.160m,42.4011330º,1.1039880º,
8,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-batlliu-de-sort_es.pdf,3,Bressui,3:30h,840m,42.4068240º,1.1232250º,
8,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-batlliu-de-sort_es.pdf,3,1,,,,,
8,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-batlliu-de-sort_es.pdf,3,Sort - Hotel Les Brases,3:50h,700m,42.4149000º,1.1324230º,
9,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-beget-i-rocabruna-per-camins-de-contrabandistes_es.pdf,2,Beget,0:00h,533m,42.320881º,2.480568º,
9,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-beget-i-rocabruna-per-camins-de-contrabandistes_es.pdf,2,Collado de Malrem,1:30h,1.134m,42.341038º,2.480850º,
9,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-beget-i-rocabruna-per-camins-de-contrabandistes_es.pdf,2,Carretera de Rocabruna,2:10h,905m,42.339207º,2.460703º,
9,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-beget-i-rocabruna-per-camins-de-contrabandistes_es.pdf,2,Can Tadeu,2:25h,948m,42.336327º,2.455653º,
9,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-beget-i-rocabruna-per-camins-de-contrabandistes_es.pdf,2,Castillo de Rocabruna,2:40h,997m,42.329666º,2.453616º,
9,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-beget-i-rocabruna-per-camins-de-contrabandistes_es.pdf,2,Molino de Sorolla,3:00h,828m,42.320881º,2.448495º,
9,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-beget-i-rocabruna-per-camins-de-contrabandistes_es.pdf,2,Beget,4:00h,533m,42.320881º,2.480568º,
10,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-besiberri-nord-desde-cavallers-por-riu-malo_es.pdf,3,1er día,,,,,
10,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-besiberri-nord-desde-cavallers-por-riu-malo_es.pdf,3,Aparcamiento embalse de Cavallers,0:00h,N 42.5839167º,E 0.8541529º,1.700m,
