route_id,section_id,heading,text
0,0_section-0,FICHA TÉCNICA,"Vuelta a las Agujas de Montserrat desde Can Maçana Descubrimos la vertiente de poniente de Montserrat entre Can Maçana, el refugio Vicenç Barbé y collado de Port: agujas, abismos y selvas submediterráneas Montserrat, Anoia, Barcelona, Cataluña Dificultad Media Tiempo total efectivo 3:05 h Distancia total 7 km Desnivel acumulado +500 m / -500 m Altitud mínima 714 m Altitud máxima 980 m Punto de salida / llegada Aparcamiento Espai Natura Can Maçana Población más cercana El Bruc Altitud (m) Distancia (km) 4 – Collado de Port 1 - Aparcamiento de Can Maçana Croquis de ruta derivado de un recorte de la base cartográfica de Catalunya propiedad del Institut Cartogràfic i Geològic de Catalunya (ICGC), utilizada bajo una licencia CC BY 4.0. en la ficha web de la ruta Descárgate el TRACK GPS 2 – Camino de la Portella 3 - Refugio Vicenç Barbé 5 – La Foradada"
0,0_section-1,LO MEJOR DE ESTA RUTA,"Superar el paso de La Portella, puerta de entrada natural a Montserrat. Conocer y visitar el refugio Vicenç Barbé. La combinación de agujas y paredes conglomeradas, canales, torrentes y bosques. Admirar monumental cara norte de Montserrat y la singular Roca Foradada."
0,0_section-2,INTRODUCCIÓN,"Ruta circular de 7 km de distancia y 600 m de desnivel positivo acumulado que desde el collado de Can Maçana nos conduce por la solana y la umbría del sector más occidental de Montserrat, descubriendo las regiones de Agujas (Agulles en catalán) y de Frailes Encantados (Frares Encantats en catalán), así como las abismales paredes de la cara norte de la montaña. Saliendo desde el aparcamiento del Espacio Natura Montserrat - Coll de Can Maçana nos dirigimos hacia el collado de Guirló y, desde este punto, hasta el paso de la Portella, donde accedemos al interior del macizo montserratino. Seguimos hacia el refugio Vicenç Barbé -también llamado refugio de Agulles- y continuamos hacia el paso del Príncep y el collado de Port. Proseguimos por la cara norte de la montaña -pasando bajo la Cadireta y la Roca Foradada- y conectamos de nuevo con el collado de Guirló, desde donde regresamos hasta Can Maçana. Si queremos descubrir la región más occidental del macizo de Montserrat, esta ruta es la manera perfecta de hacerlo sin tener que realizar ningún paso expuesto ni tener conocimientos de escalada en roca. Un sendero muy agradable y evidente que flanquea la cara sur de la montaña rodeando sus canales y torrentes nos adentra en un mundo de ensueño donde las fracturas originadas por los movimientos tectónicos y la erosión de los agentes meteorológicos han esculpido agujas pintorescas que han dado nombre, precisamente, a la zona que estamos visitando: las Agujas y los Frailes Encantados. La visita al refugio Vicenç Barbé podemos decir que forma parte de la cultura montserratina, así como superar el paso del Príncep y avanzar por la umbría del macizo a través del collado de Port, una zona donde nos sorprenderá la verticalidad -¡y monumentalidad!- de sus paredes conglomeradas así como el espesor del bosque submediterráneo por el que transitaremos. Todo ello, una experiencia que nos hará querer y respetar aún más esta montaña tan cercana y, a la vez, ¡tan desconocida para la mayoría!"
0,0_section-3,MÁS INFORMACIÓN,"Tiempo total efectivo (sin paradas): 3:05 h en total: 0:45 h desde el aparcamiento de Can Maçana hasta el refugio Vicenç Barbé; 1:00 h desde el refugio Vicenç Barbé hasta el collado de Port y 1:20 h desde el collado de Port hasta el aparcamiento de Can Maçana (habiendo ascendido a la Foradada) Dificultad: Media. El paso de la Portella reclama utilizar un poco las manos y la subida a la Foradada es bastante directa y pedregosa. Aunque en general el itinerario transcurre por un sendero bien señalizado, habrá que estar atentos en cada cruce para no desviarnos de la ruta. Época: Todo el año. Sin embargo, hay que tener en cuenta que en pleno verano puede hacer mucho calor, especialmente en la cara sur. Observaciones: Es necesario llevar agua (mínimo 1,5 litros) ya que no encontraremos ninguna fuente de agua potable en todo el recorrido. El aparcamiento del collado de Can Maçana es gratuito entre semana pero los festivos y fines de semana (desde las 9 h hasta las 19 h) es de pago. Para los vecinos del Bruc y los otros tres municipios del entorno es siempre gratuito y hay descuentos del 50 % para miembros de entidades excursionistas como la FEEC (enseñando la tarjeta federativa en la entrada)."
0,0_section-4,RECORRIDO,"Iniciamos el itinerario en el  aparcamiento de Can Maçana (0:00 h - 714 m) , donde se encuentra el centro de información del Espacio Natura Montserrat - Can Maçana de la Fundació Catalunya La Pedrera, un área de picnic con tablas y árboles, y una fuente. Esta propuesta de ruta transcurre dentro de los límites del Parque Natural de la Montaña de Montserrat y al mismo tiempo dentro del espacio de interés geológico incluido en el Geoparque Mundial UNESCO de la Cataluña Central. Además, nos encontramos en el escenario de las legendarias proezas del tamborilero del Bruc en su lucha contra las tropas napoleónicas, un itinerario señalizado con el nombre de “Camino de las Batallas” recuerda estos hechos. Desde el aparcamiento de Can Maçana seguimos un camino bien definido y señalizado hasta un primer desvío, donde tomamos el camino ancho de la izquierda (NE) y descartamos el camino que sigue recto (E) y que marcha hacia la población del Bruc. Este primer tramo está señalizado como GR 172, sendero lineal de gran recorrido con marcas clásicas blancas y rojas que tiene casi 200 km de longitud y que une la Mussara, en el Baix Camp, con Bellprat, en el Anoia. El camino asciende ligeramente y nos acerca al mirador del collado de Can Maçana, donde una mesa informativa nos ayuda a interpretar las increíbles vistas que tenemos desde este punto: el Montsec, el Aneto, el Cadí o el Puigmal son algunos de los perfiles que se dibujan en el horizonte. Continuamos avanzando por el camino señalizado. Llegamos a un punto donde dejamos atrás a la derecha el desvío que nos acercaría a la iglesia de Sant Pau Vell y las ruinas del castillo de la Guàrdia. Seguimos por el Camí de la Foradada y pronto llegamos al collado de Guirló, situado en una gran explanada. Desde este collado, continuamos por el sendero que sale en dirección NE (dejamos una pista que baja hacia el Bruc) y seguimos la cresta. Al cabo de poco más de 100 m llegamos al  Camino de la Portella (0:15 h - 797 m), desvío donde enlazamos con el PR-C78, un sendero que sale a la derecha (SE) y se dirige hacia la Portella. El PR C-78 es un itinerario señalizado con marcas blancas y amarillas que tiene 25 km de longitud, une la ermita de Sant Feliu de Castellolí con el Bruc y que nosotros seguiremos hasta el collado del Port. Nos estamos acercando a la sierra de la Portella y a la región de Agujas, muralla occidental del macizo de Montserrat. Llegamos a la base de una estrecha canal encastada entre las rocas. Remontamos esta canal -ayudándonos con las manos- y salimos a la Portella, paso natural situado entre la Roca Gran de la Portella, a la derecha, y la Roca Petita de la Portella, a la izquierda. El topónimo de este sitio está muy bien elegido, nos encontramos en una puerta natural que nos adentra en el universo montserratino. A partir de aquí el paisaje pasa a ser muy abrupto y combina de forma sorprendentemente equilibrada las agujas de roca conglomerada con el selvático encinar montañoso. Rodeamos la canal de Els Cirerers, la canal de Les Boïgues y la canal de Pasqual y salimos a un rellano bajo la Roca de la Partió donde se encuentra el  refugio Vicenç Barbé (0:45 h - 892 m), inaugurado en 1961 y gestionado por la FEEC (Federación de Entidades Excursionistas de Cataluña). Tiene servicio de guarda los fines de semana, momento en el que ofrece comidas y bebidas. Vicenç Barbé es el nombre de un escalador que murió en 1942 cuando escalaba en la zona de Frailes Encantados. A la sombra de las encinas, desde el refugio continuamos hacia la izquierda bordeando la canal de Coma Figuera y, resiguiendo la canal Ampla, salimos a un collado en la cota 925 m, momento en el que dejamos atrás la región de Agujas y entramos en la región de Frailes Encantados. Continuamos flanqueando una canal y, a continuación, enlazamos con otra canal más grande, es el torrente del Lloro. Dejamos un desvío a la izquierda, que sube hacia el Portell Estret, y continuamos, ahora en ascenso, hasta el paso del Príncep, situado entre la aguja Superior del Príncep y el grupo formado por la Roca Petita del Pas del Príncep, el Bitllot y la Miranda del Pas del Príncep. Desde este punto disfrutamos de muy buenas vistas a la cercana región de Ecos, casi en el corazón de Montserrat. No sería de extrañar si estamos atentos, poder descubrir entre las paredes vertiginosas la reintroducida cabra salvaje, que hace una tarea muy importante en la “limpieza” de los bosques, muy útil en la lucha contra los incendios. Continuamos, ahora hacia el NE, sorteando la temible aguja Superior del Pas del Príncep y la barrera oriental de Frailes Encantados. Pasamos junto a la cueva de la Font de l'Esllavissada, situada a la izquierda del camino, cueva natural de roca de 23 m de largo por 5 m de profundidad. Dentro de la cavidad hay una pequeña cisterna de agua que suele estar húmeda pero sin agua y que ha sido utilizada desde la época en la que los eremitas habitaban esta montaña. En suave ascenso llegamos hasta el brazo occidental de la cabecera del torrente de las Grutes y el  collado de Port (1:45 h - 976 m), paso estratégico y puerta natural que comunica la solana con la umbría del macizo montserratino. Así, bien abrigados si hace frío o agradeciendo la sombra si hace calor, remontamos a la umbría de la sierra por un sendero que desciende hacia el NO. Seguidamente nos encontramos con la fuente del collado de Port. Rodeamos las abismales paredes septentrionales de los Frailes Encantados por un camino sombrío con un bosque típicamente submediterráneo que combina el encinar montañoso con árboles planifolios como el roble, el orón, el arce o el serbal. En este tramo mucho más sombrío y fresco podemos encontrar especies de alto valor ecológico como la Ramonda miconi o la corona de rey que durante la primavera realizan floraciones espectaculares. Si hacemos la ruta avanzado el otoño, ¡disfrutaremos con sus vistosos colores! Un poco más adelante dejamos atrás a la izquierda el sendero que sube hasta el Portell Estret y seguimos bajando hasta que nos encontramos de nuevo con el GR-172, que en este tramo recorre la cara norte de Montserrat. Tomamos esta senda a la izquierda y pronto rodeamos la Cadireta, roca monumental que, rodeándola por debajo, nos desvela una de las formaciones rocosas más características de Montserrat: la  Roca Foradada (2:35 h - 928 m), con un arco natural de forma triangular. Este agujero ha estado formado por una diaclasa (fractura sin desplazamiento relativo de los dos fragmentos, provocada por movimientos tectónicos) que, en lugar de ser vertical, como ocurre normalmente en Montserrat, es inclinada y parece un tejado a dos aguas. El hueco comprendido entre las paredes de roca tiene una altura de unos 10 m y una profundidad de 5 m. Los más aventureros, pueden subir hasta la Foradada a través de un estrecho y pedregoso sendero que en algún punto un poco dispone de una cuerda fija que nos ayuda a ascender con mayor comodidad. Habiendo disfrutado con la contemplación de este fenómeno geológico y de la inmensa pared norte de Agujas seguimos por el camino, ya menos boscoso. Llegamos al desvío con el Camino de la Portella y seguidamente al collado de Guirló, desde donde bajamos hasta el  aparcamiento de Can Maçana (3:05 h - 714 m), donde damos por terminado este bonito recorrido por el Montserrat ponentino"
0,0_section-5,¿SABÍAS QUE...?,En 2013 el italiano-noruego Alexander Polli voló a través de la Roca Foradada de Montserrat a 250 km/h? Lo hizo después de saltar desde un helicóptero vestido de hombre pájaro. El carismático saltador falleció años después en un accidente en Chamonix.
0,0_section-6,CÓMO LLEGAR EN COCHE,"Si llegamos a la zona por la autovía A-2 debemos tomar la salida 570 y seguir las indicaciones hacia “Montserrat / Manresa” por la carretera B-111. Avanzamos 3 km por esta vía hasta que, justo antes de alcanzar el collado de Can Maçana, tomamos un desvío a la derecha que baja hasta el aparcamiento del Espacio Natura Montserrat - Coll de Can Maçana, punto de inicio de la ruta. Si llegamos a la zona desde Manresa, debemos avanzar por la carretera C-37z en dirección SO durante casi 4 km hasta una rotonda (situada poco antes del punto kilométrico 89 de esta carretera) donde seguimos las indicaciones de “Sant Salvador de Guardiola est / El Bruc”. Continuamos por la carretera BP-1101, descartando a la izquierda el desvío hacia Marganell y llegando, al cabo de 12 km, al collado de Can Maçana. Unos metros más adelante tomamos un desvío a la izquierda que baja hasta el aparcamiento del Espacio Natura Montserrat - Coll de Can Maçana. Esta guía web y PDF gratuita ha sido publicada con el apoyo de la Diputació de Barcelona. Las rutas pueden variar mucho en función de la época del año, de la nieve y de las condiciones meteorológicas. La señalización (marcas, paneles, balizas) que podemos encontrar a lo largo de la ruta también puede variar con el tiempo. RUTES PIRINEUS no se responsabiliza de cualquier mal uso de sus guías y recomienda que cada uno sea responsable y prudente en la montaña. Igualmente, os invitamos a documentaros con libros y guías especializadas para complementar la información descrita. Todos los tiempos son efectivos y toman un carácter orientativo, no se han tenido en cuenta las paradas por pequeñas que sean. Para cualquier sugerencia, RUTES PIRINEUS os invita a enviar"
0,0_section-7,NO TE PIERDAS...,"Visitar el centro de visitantes del Espacio Natura Montserrat - Coll de Can Maçana, de la Fundació Catalunya La Pedrera donde nos darán todo tipo de información sobre el macizo de Montserrat, poniendo especial énfasis en sus valores naturales y culturales."
1,1_section-0,FICHA TÉCNICA,"Fígols y Alinyà, La Montaña de Alinyà, Alto Urgel, Lérida, Cataluña, España Descubrimos la profunda Rasa de Vall-llonga y la curiosa fuente natural del Aiguaneix en el pintoresco valle de Alinyà Aiguaneix de Alinyà Paisatges pintorescos Rutas circulares Paisatges pintorescos Rutes circulars Paisajes pintorescos Lagos, ríos y cascadas Paisatges pintorescos Rutes circulars Familias y niños Dificultad Tiempo total efectivo Distancia total Desnivel acumulado Altitud mínima Altitud máxima Punto de salida / llegada Población más cercana RUTESPIRINEUS Català Español Baja 1:15h 3,2 km 210m 944m 1.112m Puente de Ca la Rosalia Alinyà Sistema de coordenadas geográﬁ cas. Datum WGS84."
1,1_section-1,PUNTOS IMPORTANTES DE PASO (WAYPOINTS),Punto de paso Tiempo Altura Latitud Longitud Puente de Ca la Rosalia 0:00h 944m 42.180608º 1.424975º Sendero señalizado 0:15h 985m 42.179270º 1.427997º Descartamos un desvío 0:20h 1.031m 42.178689º 1.429488º El Aiguaneix 0:35h 1.095m 42.175099º 1.432630º La Collada 0:45h 1.112m 42.176781º 1.428314º Puente de Ca la Rosalia 1:15h 944m 42.180608º 1.424975º “Muntanya d’Alinyà. 1:25.000” propiedad de la Editorial Alpina. itinerario sentido de la ruta inicio / fi nal 500m N Aiguaneix de Alinyà RUTESPIRINEUS
